y_pred_prob,y_true
0.5217869,0
0.5718109,0
0.5442066,0
0.31586015,0
0.5648205,0
0.5683668,0
0.35788202,0
0.38121197,0
0.6665116,0
0.37752524,0
0.53056663,0
0.5779047,0
0.3734303,0
0.39644694,0
0.49589273,1
0.61010617,0
0.59098285,1
0.32026094,0
0.5828064,0
0.4006299,0
0.58859473,0
0.448212,0
0.43285477,0
0.5543047,0
0.2938847,0
0.52924174,1
0.5998334,0
0.5414636,0
0.58843935,0
0.692236,1
0.5489563,0
0.5608493,1
0.5163034,0
0.64491856,0
0.46749106,0
0.6305612,1
0.41721898,1
0.53758764,1
0.44207463,0
0.39825532,1
0.5959505,0
0.40222654,0
0.6206777,1
0.4242373,0
0.58593297,0
0.34408885,0
0.57043755,0
0.57439613,0
0.5546439,0
0.50071317,0
0.55218756,0
0.57960296,0
0.6167307,1
0.5860669,0
0.5385587,0
0.5530728,0
0.45349133,0
0.5454478,0
0.53268236,0
0.5235087,0
0.51537704,1
0.51830167,0
0.54840994,1
0.5319943,1
0.4949954,0
0.6808762,1
0.403897,0
0.43377063,1
0.56648695,0
0.5944881,1
0.5986121,0
0.61459917,0
0.4042406,0
0.576037,1
0.6623336,1
0.57452136,0
0.5727115,0
0.5355774,0
0.3709504,0
0.6045924,1
0.56747615,0
0.41236666,0
0.4258076,0
0.510354,0
0.36270493,0
0.54561365,0
0.36343086,0
0.51168644,0
0.36169204,0
0.61445594,1
0.5582013,0
0.54576504,0
0.60179055,0
0.3895415,0
0.44780567,0
0.59025735,0
0.49606988,0
0.4093875,0
0.39341044,0
0.3716801,0
0.5135544,0
0.34155503,0
0.578712,1
0.5714716,0
0.56784075,0
0.5456383,1
0.62497306,1
0.5191603,0
0.5250703,0
0.3688468,0
0.55309784,0
0.5005909,0
0.4764059,0
0.3846056,0
0.54478866,1
0.3760003,1
0.60268676,0
0.59416175,0
0.5518002,1
0.60998094,1
0.343715,0
0.60336405,0
0.5842942,0
0.51758605,0
0.54409385,0
0.42673498,0
0.32113925,0
0.43567452,1
0.36637717,0
0.5582079,1
0.56105065,0
0.42681032,0
0.5629996,0
0.56523085,0
0.34558192,0
0.58842766,0
0.5738559,1
0.51619154,0
